suburb,postal_code,street_code,place,province
MATAMELA,8,,-,Gauteng
MODIKOE,300,,-,Mpumalanga
VALFONTEIN,472,,-,Mpumalanga
DICHOEUNG,476,,-,Mpumalanga
MORIPE,496,,-,Mpumalanga
VAALWATER,530,,-,Mpumalanga
NYLPARK,600,,-,Mpumalanga
STEILLOOP,617,,-,Mpumalanga
TSIAME,745,,-,Limpopo
GARAKGOATHA,803,,-,Limpopo
MOKOMENE,811,,-,Limpopo
SHIMANGE,826,,-,Limpopo
SUNDYSIDE,857,,-,Limpopo
THAMAGANE,918,,-,Limpopo
TSHAKHUMA,951,,-,Limpopo
TSHAKHUMA VILLAGE,951,,-,Limpopo
MAMADI,962,,-,Limpopo
TSHITANDANI,963,,-,Limpopo
MONSTERUS,1057,,-,Mpumalanga
MADRAS,1258,,-,Mpumalanga
NTUNDA,1330,,-,Mpumalanga
M'LAPA-KGOMO,1373,,-,Mpumalanga
MLAPA-KGOMO,1373,,-,Mpumalanga
LAKEVILLE,1516,,-,Gauteng
HALFWAY HOUSE,1685,1685,-,Gauteng
SYBELLA,1698,,-,Gauteng
SUNRISE,1723,,-,Gauteng
ONTDEKKERS EXT 3,,1724,-,Gauteng
ONTDEKKERS UIT 3,,1724,-,Gauteng
MAGSMANOR,,1829,-,Gauteng
VON GEUSAU PARK,,1911,-,Gauteng
SEBOKENG,1982,1983,-,Gauteng
CROWN MINES,2025,2092,-,Gauteng
MELDENE,,2092,-,Gauteng
SOPHIATOWN,,2092,-,Gauteng
RIVERSANDS,,2191,-,Gauteng
MONTPARK,,2195,-,Gauteng
TOP SHAYELA,2329,,-,Mpumalanga
VIERFONTEIN,2615,2615,-,North West
MASAKENG,2623,,-,North West
MAREETSANE,2715,,-,North West
MAREETZANE,2715,,-,North West
MOGASNE,2728,,-,North West
MIGA,2756,,-,North West
MASAMANE,2757,,-,North West
MOSEKI,2758,,-,North West
LOGAGENG,2759,,-,North West
LOPORUNG,2761,,-,North West
THOLO-RAPULANA,2785,,-,North West
SEHUME,2787,,-,North West
SELEMOSENG,2788,,-,North West
MOTSOSENG,2789,,-,North West
MADIKWE,2840,2840,-,North West
THANDABANTU,2860,,-,North West
SPRINGBOKPAN,2861,,-,North West
MOKGOLA,2869,,-,North West
WASBANK,2920,,-,KwaZulu Natal
SIZAKANCANE,2960,,-,KwaZulu Natal
ZAMANI,2970,,-,KwaZulu Natal
ZUMANI,2970,,-,KwaZulu Natal
MANZANA,3019,,-,KwaZulu Natal
SITHEMBILE,3022,,-,KwaZulu Natal
MAWK,3112,,-,KwaZulu Natal
MAHLAFUNA,3138,,-,KwaZulu Natal
MAQONGQO,3199,,-,KwaZulu Natal
PIETERMARITZBURG,3200,3201,-,KwaZulu Natal
MBIYO,3222,,-,KwaZulu Natal
NKWAZI,3223,,-,KwaZulu Natal
SLANGSPRUIT,3229,3201,-,KwaZulu Natal
MBEKA,3232,,-,KwaZulu Natal
UNDERBERG,3257,,-,KwaZulu Natal
NCALU,3278,,-,KwaZulu Natal
STEPMORE,3283,,-,KwaZulu Natal
LOURDES,3284,,-,KwaZulu Natal
KWA SIZABANTU,3285,,-,KwaZulu Natal
KWASIZABANTU,3285,,-,KwaZulu Natal
HOWICK,3290,3290,-,KwaZulu Natal
UMZIMKHULU,3297,,-,KwaZulu Natal
UMZIMKULU,3297,,-,KwaZulu Natal
MPHOPHOMENI,3309,,-,KwaZulu Natal
PHUNGASHE,3320,,-,KwaZulu Natal
PINETOWN,3600,3610,-,KwaZulu Natal
SANKONTSHE,3700,,-,KwaZulu Natal
ESTON,3740,,-,KwaZulu Natal
NKUMANE,3741,,-,KwaZulu Natal
UMKOMAAS VALLEY,3742,,-,KwaZulu Natal
MID ILLOVO,3750,,-,KwaZulu Natal
KWAMKHONTO,3751,,-,KwaZulu Natal
GINGINDLOVU,3800,3800,-,KwaZulu Natal
MASUNDWINI,3808,,-,KwaZulu Natal
MABOGWENI,3822,,-,KwaZulu Natal
NKANDLA,3855,,-,KwaZulu Natal
MAHLABATINI,3865,,-,KwaZulu Natal
MTUNZINI,3867,3867,-,KwaZulu Natal
QHUDENI,3872,,-,KwaZulu Natal
NHLWATHI,3873,,-,KwaZulu Natal
NOMDIYA,3874,,-,KwaZulu Natal
KWADLANGEZWA,3886,,-,KwaZulu Natal
PORT DUNFORD,3887,,-,KwaZulu Natal
MAHIHASHINI,3888,,-,KwaZulu Natal
RICHARDS BAY,3900,3900,-,KwaZulu Natal
RICHARDSBAAI,3900,3900,-,KwaZulu Natal
MTUBATUBA,3935,3935,-,KwaZulu Natal
GEDLEZA,3941,,-,KwaZulu Natal
MAHLANGASI,3951,,-,KwaZulu Natal
MSEBE,3952,,-,KwaZulu Natal
INGWAVUMA,3968,,-,KwaZulu Natal
KWANGWANASE,3973,,-,KwaZulu Natal
ULWAZI,3981,,-,KwaZulu Natal
MLAMULA,3991,,-,KwaZulu Natal
KWASKHEMELELE,3992,,-,KwaZulu Natal
PHELANDABA,3994,,-,KwaZulu Natal
WARWICK TRIANGLE,4010,,-,KwaZulu Natal
MALVERN,4055,4093,-,KwaZulu Natal
WIGGINS,,4091,-,KwaZulu Natal
WHETSTONE,4102,,-,KwaZulu Natal
UMBUMBULU,4105,,-,KwaZulu Natal
SPARKSVIEW,4122,,-,KwaZulu Natal
QWABE,4187,,-,KwaZulu Natal
OGWINI,4188,,-,KwaZulu Natal
SANGCWABA,4206,,-,KwaZulu Natal
MDASHA,4216,,-,KwaZulu Natal
UMTENTWENI,4235,4235,-,KwaZulu Natal
PORT SHEPSTONE,4240,4240,-,KwaZulu Natal
PADDOCK,4244,,-,KwaZulu Natal
MCOSELA,4254,,-,KwaZulu Natal
NODALANE,4255,,-,KwaZulu Natal
MANTHINTA,4256,,-,KwaZulu Natal
SHELLY BEACH,4265,4265,-,KwaZulu Natal
UVONGO,4270,4270,-,KwaZulu Natal
RAMSGATE,4285,4285,-,KwaZulu Natal
KWASHAKA,4286,,-,KwaZulu Natal
PORT EDWARD,4295,4295,-,KwaZulu Natal
VERULAM,4340,4339,-,KwaZulu Natal
NDWEDWE,4342,,-,KwaZulu Natal
ONDINI,4348,,-,KwaZulu Natal
SHAKASHEAD,4381,,-,KwaZulu Natal
TONGAAT,4400,4399,-,KwaZulu Natal
ZIMBALI,4418,4439,-,KwaZulu Natal
SHEFFIELD BEACH,,4420,-,KwaZulu Natal
ZIMBALI LODGE,4422,,-,KwaZulu Natal
SHAKASKRAAL,4430,4430,-,KwaZulu Natal
KWADUKUZA,4450,4449,-,KwaZulu Natal
STANGER,4450,4449,-,KwaZulu Natal
SUNBURY,4458,,-,KwaZulu Natal
WANGU,4493,,-,KwaZulu Natal
KWAMACHI,4682,,-,KwaZulu Natal
STAFFORD'S POST,4686,,-,KwaZulu Natal
STAFFORDS POST,4686,,-,KwaZulu Natal
KWABHOBHI,4690,,-,KwaZulu Natal
KWABHOPHI,4690,,-,KwaZulu Natal
KWAMBOTHO,4691,,-,KwaZulu Natal
KOKSTAD,4700,4700,-,KwaZulu Natal
MZINGIZI,4720,,-,KwaZulu Natal
NGONYAMENI,4741,,-,KwaZulu Natal
MAGADLA,4750,,-,KwaZulu Natal
MOUNT FLETCHER,4770,,-,KwaZulu Natal
MT FLETCHER,4770,,-,KwaZulu Natal
MAKWANTINI,4800,,-,Eastern Cape
REDOUBT,4801,,-,Eastern Cape
NTABANKULU,4816,,-,Eastern Cape
LUSIKISIKI,4820,4820,-,Eastern Cape
QHOLORHA,4960,,-,Eastern Cape
QOLORA,4960,,-,Eastern Cape
NGWANE,5000,,-,Eastern Cape
WILLOWVALE,5040,5040,-,Eastern Cape
SITHANGAMENI,5090,,-,Eastern Cape
NQUTYANA,5119,,-,Eastern Cape
NTSIMBINI,5123,,-,Eastern Cape
LUDOME,5124,,-,Eastern Cape
MASINCEDANE,5133,,-,Eastern Cape
MNCEBA,5139,,-,Eastern Cape
NGQELENI,5140,5140,-,Eastern Cape
THOMAS RIVER,,5311,-,Eastern Cape
THOMASRIVIER,,5311,-,Eastern Cape
TYLDEN,5323,,-,Eastern Cape
ROSSOUW,5437,,-,Eastern Cape
STORMBERG,5501,,-,Eastern Cape
NGXAKAZA,5609,,-,Eastern Cape
TSHATSHU,5613,,-,Eastern Cape
TSHABO 1,5663,,-,Eastern Cape
TSHABO 2,5663,,-,Eastern Cape
TSHABO 3,5663,,-,Eastern Cape
RABULA,5672,,-,Eastern Cape
MBIZANA,5687,,-,Eastern Cape
NGCELWANE,5722,,-,Eastern Cape
LONG HOPE,5820,,-,Eastern Cape
ONDER-SMOORDRIF,5827,,-,Eastern Cape
OVERBAAKENS,6065,6070,-,Eastern Cape
SITOFILE,6206,,-,Eastern Cape
DESPATCH,6219,6220,-,Eastern Cape
SUTHERLAND,6920,6920,-,Western Cape
FRASERBURG,6960,6960,-,Western Cape
LOXTON,6985,,-,Western Cape
PLAAS FIRLANDS,7130,,-,Western Cape
PELLA SENDING STASIE,7348,,-,Western Cape
X SECTION SITE B,,7784,-,Western Cape
MDC,7800,,-,Western Cape
LOERIESFONTEIN,8185,8185,-,Northern Cape
NABABEEP,8265,8265,-,Northern Cape
OKIEP,8270,,-,Northern Cape
PORT NOLLOTH,8280,8280,-,Northern Cape
ULCO,8390,8390,-,Northern Cape
DANIELSKUIL,8405,8405,-,Northern Cape
LIME ACRES,8410,8410,-,Northern Cape
SESENG,8447,8447,-,Northern Cape
OLIFANTSHOEK,8450,8450,-,Northern Cape
SEODING,8465,,-,Northern Cape
SANTOY,8491,,-,Northern Cape
GANSPAN,8552,,-,Northern Cape
MANOKWANE,8561,,-,Northern Cape
GATAUTE,8567,,-,Northern Cape
MAGOGONG,8575,8575,-,Northern Cape
PUDIMOE,8581,8581,-,Northern Cape
REIVILO,8595,8595,-,Northern Cape
MODULAR RANGE,8598,,-,Northern Cape
POMFRET,8619,,-,Northern Cape
RITCHIE,8701,8701,-,Northern Cape
RIETFONTEIN,,8811,-,Northern Cape
NEILERSDRIF,8862,,-,Northern Cape
PELLA,8891,8891,-,Northern Cape
MARYDALE,8910,8910,-,Northern Cape
WILLISTON,8920,8920,-,Northern Cape
MAKAOTA,9333,,-,Free State
STEUNMEKAAR,,9392,-,Free State
STEYNPAN,9464,,-,Free State
TIKWANA,9489,,-,Free State
BOTHAVILLE,9660,9660,-,Free State
RAMOSILI,9664,,-,Free State
ROSENDAL,9720,9720,-,Free State
LADY GREY,9755,9755,-,Free State
WESTMINSTER,9765,,-,Free State
TELE BRIDGE,9769,,-,Free State
PHUTHADITJHABA,9866,9869,-,Free State
PHUTHADITJHABA SOUTH,9867,,-,Free State
MAKHALANENG,9870,,-,Free State
POELONG,9874,9874,-,Free State
SPRINGFONTEIN,9917,9917,-,Free State
LUCKHOFF,9982,9982,-,Free State
ABERDEEN,6270,6270,ABERDEEN,Eastern Cape
ABERDEEN TSP,,6270,ABERDEEN,Eastern Cape
ABERDEEN DGD,,6270,ABERDEEN,Eastern Cape
HOBSONVILLE,,6270,ABERDEEN,Eastern Cape
LOTUSVILLE,,6270,ABERDEEN,Eastern Cape
SUIDLOKASIE,,6270,ABERDEEN,Eastern Cape
THEMBALESIZWE,,6270,ABERDEEN,Eastern Cape
SOEKNOG,1227,,ACORNHOEK,Mpumalanga
CHOHOCHO,1242,1242,ACORNHOEK,Mpumalanga
MOLORO,1280,1280,ACORNHOEK,Mpumalanga
WALES,1280,1280,ACORNHOEK,Mpumalanga
BROOKLYN,1360,,ACORNHOEK,Mpumalanga
BUFFELSHOEK,1360,1360,ACORNHOEK,Mpumalanga
DINGLEDALE,1360,,ACORNHOEK,Mpumalanga
HUMULANI,1360,,ACORNHOEK,Mpumalanga
KA JOSEFA,1360,,ACORNHOEK,Mpumalanga
MAANAWE,1360,,ACORNHOEK,Mpumalanga
MACK AND GRANDS,1360,,ACORNHOEK,Mpumalanga
MALITSHEGO,1360,,ACORNHOEK,Mpumalanga
MALUNGANA,1360,,ACORNHOEK,Mpumalanga
NGQUMATHINI,1360,,ACORNHOEK,Mpumalanga
PHAAHLEDI,1360,,ACORNHOEK,Mpumalanga
TIMBAVATI,1360,,ACORNHOEK,Mpumalanga
COTTONDALE,1361,,ACORNHOEK,Mpumalanga
THULAMAHASHE,1365,1365,ACORNHOEK,Mpumalanga
KHOKHOVELA,1367,,ACORNHOEK,Mpumalanga
CASTEEL,1370,1370,ACORNHOEK,Mpumalanga
ROOIBOKLAAGTE,1375,1375,ACORNHOEK,Mpumalanga
MURHOTSO,1378,,ACORNHOEK,Mpumalanga
ADDO,6105,6105,ADDO,Eastern Cape
KWA NOMATHAMSANQA,6105,,ADDO,Eastern Cape
VALENCIA,,6105,ADDO,Eastern Cape
VALENTIA,6105,,ADDO,Eastern Cape
ZWELITSHA,6105,,ADDO,Eastern Cape
SUMMERVILLE,6107,,ADDO,Eastern Cape
ELEPHANT PARK,6109,,ADDO,Eastern Cape
OLIFANTPARK,6109,,ADDO,Eastern Cape
SUNLAND,6115,,ADDO,Eastern Cape
ADELAIDE,5760,5760,ADELAIDE,Eastern Cape
BEZUIDENHOUTVILLE,,5760,ADELAIDE,Eastern Cape
ILINGE LETHU,5760,,ADELAIDE,Eastern Cape
LINGELETHU,5760,,ADELAIDE,Eastern Cape
ADENDORP,6282,6282,ADENDORP,Eastern Cape
MNANDI VILLAGE,6282,,ADENDORP,Eastern Cape
ALBERTINIA,6695,6695,ALBERTINIA,Western Cape
RAINBOW VILLAGE,,6695,ALBERTINIA,Western Cape
THERONSVILLE,,6695,ALBERTINIA,Western Cape
GOURITSMOND,6696,6696,ALBERTINIA,Western Cape
MEYERSDAL,1447,1448,ALBERTON,Gauteng
MEYERSDAL EXT 11,1447,1448,ALBERTON,Gauteng
MEYERSDAL UIT 11,1447,1448,ALBERTON,Gauteng
MEYERSDAL EXT 12,1447,1448,ALBERTON,Gauteng
MEYERSDAL UIT 12,1447,1448,ALBERTON,Gauteng
MEYERSDAL EXT 14,1447,1447,ALBERTON,Gauteng
MEYERSDAL UIT 14,1447,1447,ALBERTON,Gauteng
ALBERTSDAL,1448,1448,ALBERTON,Gauteng
ALBERTSDAL EXT 17,,1448,ALBERTON,Gauteng
ALBERTSDAL UIT 17,,1448,ALBERTON,Gauteng
ALBERTSDAL EXT 18,,1448,ALBERTON,Gauteng
ALBERTSDAL UIT 18,,1448,ALBERTON,Gauteng
ALBERTSDAL EXT 6,,1448,ALBERTON,Gauteng
ALBERTSDAL UIT 6,,1448,ALBERTON,Gauteng
ALBERTSDAL EXT 8,,1448,ALBERTON,Gauteng
ALBERTSDAL UIT 8,,1448,ALBERTON,Gauteng
BRACKENDOWNS EXT 1,,1448,ALBERTON,Gauteng
BRACKENDOWNS UIT 1,,1448,ALBERTON,Gauteng
BRACKENDOWNS EXT 2,,1448,ALBERTON,Gauteng
BRACKENDOWNS UIT 2,,1448,ALBERTON,Gauteng
BRACKENDOWNS EXT 3,,1448,ALBERTON,Gauteng
BRACKENDOWNS UIT 3,,1448,ALBERTON,Gauteng
BRACKENDOWNS EXT 4,,1448,ALBERTON,Gauteng
BRACKENDOWNS UIT 4,,1448,ALBERTON,Gauteng
BRACKENDOWNS EXT 5,,1448,ALBERTON,Gauteng
BRACKENDOWNS UIT 5,,1448,ALBERTON,Gauteng
BRACKENHURST,,1448,ALBERTON,Gauteng
BRACKENHURST EXT 1,,1448,ALBERTON,Gauteng
BRACKENHURST UIT 1,,1448,ALBERTON,Gauteng
BRACKENHURST EXT 2,,1448,ALBERTON,Gauteng
BRACKENHURST UIT 2,,1448,ALBERTON,Gauteng
MABALIA,,1448,ALBERTON,Gauteng
MAYBERRY PARK EXT 1,,1448,ALBERTON,Gauteng
MAYBERRY PARK UIT 1,,1448,ALBERTON,Gauteng
MEYERSDAL EXT 17,,1448,ALBERTON,Gauteng
MEYERSDAL UIT 17,,1448,ALBERTON,Gauteng
MEYERSDAL NATURE ESTATE,,1448,ALBERTON,Gauteng
MEYERSDAL NATUURLANDGOED,,1448,ALBERTON,Gauteng
ALBERANTE,,1449,ALBERTON,Gauteng
ALBERANTE EXT 1,,1449,ALBERTON,Gauteng
ALBERANTE UIT 1,,1449,ALBERTON,Gauteng
ALBERTON EXT 28,,1449,ALBERTON,Gauteng
ALBERTON UIT 28,,1449,ALBERTON,Gauteng
ELANDSHAVEN,,1449,ALBERTON,Gauteng
FLORENTIA,,1449,ALBERTON,Gauteng
GENERAAL ALBERTSPARK,,1449,ALBERTON,Gauteng
NEW REDRUTH,,1449,ALBERTON,Gauteng
NEWMARKET,,1449,ALBERTON,Gauteng
NEWMARKET PARK,,1449,ALBERTON,Gauteng
NEWMARKET PARK EXT 1,,1449,ALBERTON,Gauteng
NEWMARKET PARK UIT 1,,1449,ALBERTON,Gauteng
RACEVIEW,,1449,ALBERTON,Gauteng
RANDHART EXT,,1449,ALBERTON,Gauteng
RANDHART UIT,,1449,ALBERTON,Gauteng
RANDHART EXT 1,,1449,ALBERTON,Gauteng
RANDHART UIT 1,,1449,ALBERTON,Gauteng
RANDHART EXT 2,,1449,ALBERTON,Gauteng
RANDHART UIT 2,,1449,ALBERTON,Gauteng
RANDHART EXT 4,,1449,ALBERTON,Gauteng
RANDHART UIT 4,,1449,ALBERTON,Gauteng
SOUTH CREST,,1449,ALBERTON,Gauteng
SOUTH CREST EXT 6,,1449,ALBERTON,Gauteng
SOUTH CREST UIT 6,,1449,ALBERTON,Gauteng
VERWOERDPARK EXT 2,,1449,ALBERTON,Gauteng
VERWOERDPARK UIT 2,,1449,ALBERTON,Gauteng
MEYERSDAL EXT 13,1450,1447,ALBERTON,Gauteng
MEYERSDAL UIT 13,1450,1447,ALBERTON,Gauteng
ALRODE,1451,1451,ALBERTON,Gauteng
BRACKEN GARDENS,1452,1448,ALBERTON,Gauteng
MEYERSDAL CREST,1452,1448,ALBERTON,Gauteng
VERWOERDPARK,1453,1449,ALBERTON,Gauteng
VERWOERDPARK EXT,1453,1449,ALBERTON,Gauteng
VERWOERDPARK UIT,1453,1449,ALBERTON,Gauteng
VERWOERDPARK EXT 7,1453,1449,ALBERTON,Gauteng
VERWOERDPARK UIT 7,1453,1449,ALBERTON,Gauteng
BRACKENDOWNS,1454,1448,ALBERTON,Gauteng
MEYERSIG ESTATE,1454,1448,ALBERTON,Gauteng
MEYERSIG LANDGOED,1454,1448,ALBERTON,Gauteng
EDEN PARK,1455,1458,ALBERTON,Gauteng
EDEN PARK EXT 5,1455,1458,ALBERTON,Gauteng
EDENPARK UIT 5,1455,1458,ALBERTON,Gauteng
ALBERTON NORTH,1456,1449,ALBERTON,Gauteng
ALBERTON-NOORD,1456,1449,ALBERTON,Gauteng
RANDHART,1457,1449,ALBERTON,Gauteng
EDEN PARK EXT 1,,1458,ALBERTON,Gauteng
EDEN PARK UIT 1,,1458,ALBERTON,Gauteng
PALM RIDGE EXT 1,,1458,ALBERTON,Gauteng
PALM RIDGE UIT 1,,1458,ALBERTON,Gauteng
PALM RIDGE EXT 2,,1458,ALBERTON,Gauteng
PALM RIDGE UIT 2,,1458,ALBERTON,Gauteng
PALM RIDGE EXT 6,1458,1458,ALBERTON,Gauteng
PALM RIDGE UIT 6,1458,1458,ALBERTON,Gauteng
PALM RIDGE EXT 8,,1458,ALBERTON,Gauteng
PALM RIDGE UIT 8,,1458,ALBERTON,Gauteng
MAYBERRY PARK,1481,1448,ALBERTON,Gauteng
PALM RIDGE,1488,1458,ALBERTON,Gauteng
PALM RIDGE EXT 7,1488,1458,ALBERTON,Gauteng
PALM RIDGE UIT 7,1488,1458,ALBERTON,Gauteng
PALMRIDGE,1488,1458,ALBERTON,Gauteng
ALEXANDER BAY,8290,,ALEXANDER BAY,Northern Cape
ALEXANDERBAAI,8290,,ALEXANDER BAY,Northern Cape
ORANJESIG,,8290,ALEXANDER BAY,Northern Cape
KUBOES,8292,,ALEXANDER BAY,Northern Cape
DRYFSAND,8294,,ALEXANDER BAY,Northern Cape
FAR EAST BANK EXT 8,,2090,ALEXANDRA,Gauteng
FAR EAST BANK UIT 8,,2090,ALEXANDRA,Gauteng
ALEXANDRIA,6185,6185,ALEXANDRIA,Eastern Cape
NONQUBELA LOC,6185,,ALEXANDRIA,Eastern Cape
NOORDHEUWEL,,6185,ALEXANDRIA,Eastern Cape
WENTZEL PARK,,6185,ALEXANDRIA,Eastern Cape
CANNON ROCKS,6186,,ALEXANDRIA,Eastern Cape
ZUNEY,6187,,ALEXANDRIA,Eastern Cape
BOKNESSTRAND,6189,,ALEXANDRIA,Eastern Cape
ALICE,5700,5700,ALICE,Eastern Cape
ALICE EXT 8,,5700,ALICE,Eastern Cape
ALICE UIT 8,,5700,ALICE,Eastern Cape
GOLF COURSE,5700,5700,ALICE,Eastern Cape
HAPPY REST EXT,,5700,ALICE,Eastern Cape
HAPPY REST UIT,,5700,ALICE,Eastern Cape
LOVEDALE,5700,,ALICE,Eastern Cape
FORT HARE,5701,,ALICE,Eastern Cape
HALA,5702,,ALICE,Eastern Cape
KRWAKRWA,5703,,ALICE,Eastern Cape
KHAMNANDI,5705,,ALICE,Eastern Cape
KHAYAMNANDI,5705,,ALICE,Eastern Cape
MAVUSO,5706,,ALICE,Eastern Cape
NGCWAZI,5708,,ALICE,Eastern Cape
AMATHOLE BASIN,5711,,ALICE,Eastern Cape
ALICEDALE,6135,6135,ALICEDALE,Eastern Cape
KWANONZWAKAZI,,6135,ALICEDALE,Eastern Cape
TRANSRIVIERE,,6135,ALICEDALE,Eastern Cape
ALIWAL NORTH,9750,9750,ALIWAL NORTH,Free State
ALIWAL-NOORD,9750,9750,ALIWAL NORTH,Free State
GOEDEMOED,,9750,ALIWAL NORTH,Free State
HILTON,9750,9750,ALIWAL NORTH,Free State
HILTON EXT 6,,9750,ALIWAL NORTH,Free State
HILTON UIT 6,,9750,ALIWAL NORTH,Free State
VERGENOEG,,9750,ALIWAL NORTH,Free State
DUKATHOLE,9752,9750,ALIWAL NORTH,Free State
DALE'S ROCK,9754,,ALIWAL NORTH,Free State
ALLANRIDGE,9490,9490,ALLANRIDGE,Free State
NYAKALLONG,9492,9490,ALLANRIDGE,Free State
ALLEN'S NEK EXT 1,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK UIT 1,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK EXT 2,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK UIT 2,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK EXT 27,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK UIT 27,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK EXT 3,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK UIT 3,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK EXT 36,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK UIT 36,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK EXT 4,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK UIT 4,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK EXT 9,1737,1709,ALLEN'S NEK,Gauteng
ALLEN'S NEK UIT 9,1737,1709,ALLEN'S NEK,Gauteng
ALRODE SOUTH EXT 3,1421,1448,ALRODE,Gauteng
ALRODE-SUID UIT 3,1421,1448,ALRODE,Gauteng
SOUTHDOWNS,1448,1448,ALRODE,Gauteng
SOUTHDOWNS EST,1448,1448,ALRODE,Gauteng
SOUTHDOWNS LGD,1448,1448,ALRODE,Gauteng
ALRODE EXT 2,1451,,ALRODE,Gauteng
ALRODE UIT 2,1451,,ALRODE,Gauteng
ALRODE SOUTH,1451,1448,ALRODE,Gauteng
BUHLE PARK,1484,1428,ALRODE,Gauteng
MTUNGWANE,3279,,AMANZIMTOTI,KwaZulu Natal
ADAMS MISSION,4100,4110,AMANZIMTOTI,KwaZulu Natal
UMBOGINTWINI,4120,4126,AMANZIMTOTI,KwaZulu Natal
ATHLONE PARK,,4126,AMANZIMTOTI,KwaZulu Natal
BHEKULWANDLE,,4126,AMANZIMTOTI,KwaZulu Natal
BONNY RIDGE,4126,,AMANZIMTOTI,KwaZulu Natal
BUENA VISTA,,4126,AMANZIMTOTI,KwaZulu Natal
DOON HEIGHTS,,4126,AMANZIMTOTI,KwaZulu Natal
ILLOVO GLEN,,4126,AMANZIMTOTI,KwaZulu Natal
ILLOVO PHASE 1,4126,4126,AMANZIMTOTI,KwaZulu Natal
ILLOVO FASE 1,4126,4126,AMANZIMTOTI,KwaZulu Natal
INTINYANE,4126,,AMANZIMTOTI,KwaZulu Natal
KINGSBURGH,,4126,AMANZIMTOTI,KwaZulu Natal
KWA MAKUTHA,,4126,AMANZIMTOTI,KwaZulu Natal
KWAMAKUTA,,4126,AMANZIMTOTI,KwaZulu Natal
LAGOON VIEW,,4126,AMANZIMTOTI,KwaZulu Natal
RAINBOW PARK,,4126,AMANZIMTOTI,KwaZulu Natal
RIDGE ROAD,,4126,AMANZIMTOTI,KwaZulu Natal
SHULTON PARK,,4126,AMANZIMTOTI,KwaZulu Natal
ST WINIFRED'S,,4126,AMANZIMTOTI,KwaZulu Natal
ST WINIFREDS,,4126,AMANZIMTOTI,KwaZulu Natal
SUNNY PARK,,4126,AMANZIMTOTI,KwaZulu Natal
THUTHUKA,4126,,AMANZIMTOTI,KwaZulu Natal
TOTI HEIGHTS,,4126,AMANZIMTOTI,KwaZulu Natal
UMGABABA,4126,4126,AMANZIMTOTI,KwaZulu Natal
WHITFIELD PARK,,4126,AMANZIMTOTI,KwaZulu Natal
DOONSIDE,4135,4126,AMANZIMTOTI,KwaZulu Natal
PHOLA SHOPPING CENTRE,4136,,AMANZIMTOTI,KwaZulu Natal
ROYSTON RIDGE,4136,,AMANZIMTOTI,KwaZulu Natal
SIFISO SUPERMARKET,4136,,AMANZIMTOTI,KwaZulu Natal
WARNER BEACH,4140,4126,AMANZIMTOTI,KwaZulu Natal
WINKLESPRUIT,4145,4126,AMANZIMTOTI,KwaZulu Natal
ILLOVO,4150,4126,AMANZIMTOTI,KwaZulu Natal
ILLOVO BEACH,4155,4126,AMANZIMTOTI,KwaZulu Natal
MFUME,4160,,AMANZIMTOTI,KwaZulu Natal
AMATHOLE VALLEY,5616,5616,AMATHOLE VALLEY,Eastern Cape
AMATOLA VIEW,,5605,AMATOLA VIEW,Eastern Cape
AMATOLA VILLE,,4930,AMATOLE VILLE,Eastern Cape
AMERSFOORT,2490,2490,AMERSFOORT,Mpumalanga
EZAMOKUHLE,2490,,AMERSFOORT,Mpumalanga
DIEPDALE,,2375,AMSTERDAM,Mpumalanga
ANERLEY,4230,,ANERLEY,KwaZulu Natal
PRAIRIE PARK,4230,,ANERLEY,KwaZulu Natal
PRAIRIEPARK,4230,,ANERLEY,KwaZulu Natal
SOUTHPORT,4230,,ANERLEY,KwaZulu Natal
SUNWICH PORT,4230,,ANERLEY,KwaZulu Natal
ARLINGTON,9602,9602,ARLINGTON,Free State
LERATSWANA,9602,9602,ARLINGTON,Free State
RIETKUIL,1097,1097,ARNOT,Mpumalanga
KARPAD,,6715,ASHTON,Western Cape
NOORDWES,,6715,ASHTON,Western Cape
ZOLANI,,6715,ASHTON,Western Cape
ASKEATON,5413,,ASKEATON,Eastern Cape
ALICEDALE EST,,7764,ATHLONE,Western Cape
ALICEDALE LGD,,7764,ATHLONE,Western Cape
BELGRAVIA EST,,7764,ATHLONE,Western Cape
BELGRAVIA LGD,,7764,ATHLONE,Western Cape
BOKMAKIERIE,,7764,ATHLONE,Western Cape
FIFTH AVENUE VILLAGE,,7764,ATHLONE,Western Cape
FIFTH AVENUE DORP,,7764,ATHLONE,Western Cape
GLEEMOOR,,7764,ATHLONE,Western Cape
GREENHAVEN,,7764,ATHLONE,Western Cape
